,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
644,Esque  a-Me Se For C,"Mar  lia Mendon  a, Maiara &",2,2021,10,14,580,0,258316038.0,24,92,93.0,0,0.0,122,F#,Minor,80,62,69,28,0,13,7
645,Mi  n,"Tini, Maria Becerra",2,2021,4,29,3406,16,596152090.0,61,23,70.0,1,0.0,92,D,Major,85,92,54,16,0,29,7
646,S  ,"Anuel Aa, Myke Towers, Jhay Cortez",3,2021,11,18,903,0,177129919.0,30,26,15.0,0,0.0,90,F#,Minor,63,75,75,17,0,11,8
647,MAMIII,"Karol G, Becky G",2,2022,2,10,6809,28,716591492.0,151,102,175.0,5,29.0,94,E,Minor,84,90,70,9,0,14,8
648,Still D.R.E.,"Dr. Dre, Snoop Dogg",2,1999,1,1,33966,0,1210599487.0,141,78,0.0,1,0.0,93,B,Major,81,53,78,18,0,6,24
652,The Next Episode,"Dr. Dre, Snoop Dogg",2,1999,1,1,31762,0,843309044.0,142,40,0.0,1,953.0,95,D#,Minor,92,31,89,3,0,8,25
653,Light Switch,Charlie Puth,1,2022,1,19,4049,0,500340342.0,119,6,85.0,1,1.0,184,F#,Major,69,91,63,11,0,9,31
656,Lost,Frank Ocean,1,2012,1,1,29499,11,822239726.0,124,27,587.0,0,4.0,123,A#,Minor,91,49,61,3,0,17,22
657,In Da Club,50 Cent,1,2002,1,1,30427,7,1202722675.0,235,106,0.0,1,35.0,90,F#,Minor,90,79,71,26,0,7,37
658,she's all i wanna be,Tate McRae,1,2022,2,4,2711,0,343197054.0,105,12,51.0,0,12.0,160,D,Minor,61,65,64,1,0,12,4
664,Excuses,"Intense, AP Dhillon, Gurinder Gill",3,2020,7,24,272,4,327498031.0,7,21,2.0,0,0.0,95,F,Minor,84,49,72,8,0,15,8
666,"Cay   La Noche (feat. Cruz Cafun  , Abhir Hathi, Bejo, EL IMA)","Quevedo, La Pantera, Juseph, Cruz Cafun  , B  jo, Abhir Hathi",7,2022,1,14,1034,1,245400167.0,19,5,12.0,0,0.0,174,F,Minor,67,74,75,44,0,7,30
667,California Love - Original Version (Explicit),"Dr. Dre, 2Pac, Roger",3,1995,12,28,18773,0,579395142.0,128,17,0.0,0,0.0,92,G,Major,77,76,84,3,0,38,4
668,Forgot About Dre,"Eminem, Dr. Dre",2,1999,1,1,19067,0,675039469.0,78,15,0.0,0,3.0,134,G#,Major,93,61,74,9,0,17,8
